,id,name,description,employer.name
0,54589266,Слесарь КИПиА 4 разряда,"<strong>Обязанности:</strong> <ul> <li>Организация технического и метрологического обслуживания средств измерения узлов учёта нефти, газа, воды;</li> <li>Ведение документооборота, паспортизаций;</li> <li>Составление графиков ТО, КМХ, ревизий;</li> <li>Проведение СМР/ПНР.</li> </ul> <strong>Требования:</strong> <ul> <li><strong>Квалификационное удостоверение - Слесарь КИПиА 4 разряда. Обязательно!</strong></li> <li>Высшее / среднее специальное образование - Автоматизация технологических процессов и производстве;</li> <li>Опыт работы с датчиками давления, газоотведения, уровнемеры, расходометры;</li> <li>Коммуникабельность, исполнительность, высокая работоспособность, стрессоустойчивость, техническая грамотность</li> </ul> <strong>Условия:</strong> <ul> <li>Официальное трудоустройство;</li> <li>График работы: 5/2 (НЕ ВАХТА!);</li> <li>Работа в г. Муравленко;</li> <li>Заработная плата обсуждается с руководителем.</li> </ul>",Газпром нефть
0,54649193,Специалист направления по обеспечению качества данных,"<strong>Обязанности:</strong> <ul> <li>Контроль качества данных (КД) в БД Общества</li> <li>Взаимодествие с корпоративным центром по направлению КД, участие в проекте &quot;Инцидент-менеджмент&quot;</li> <li>Работа c БД</li> <li>Продвинутая работа с Excel: макросы (VBA), PowerQuery</li> </ul> <strong>Требования:</strong> <ul> <li>Уверенное знание SQL</li> <li>Уверенное знание VBA</li> <li>Компетенции в области: ведение it-проектов, внедрение it-проектов в пром.экспл.</li> <li>Компетенции в части работы с тех. сопроводительной документацией (функц.-тех.требования, описание архитектуры проекта и пр.)</li> <li>Умение самостоятельно организовывать работу, брать ответственность (принятие решений)</li> <li>Навыки делового общения, составления бизнес-презентаций и бизнес-выступлений о результатах выполненных задач.</li> <li>Образование - высшее: вычислительная (прикладная) математика, информационные технологии, программная инженерия и иные схожие направления.</li> <li>Опыт работы: не менее 3 лет работы программистом, работа с БД (Oracle), руководителем it-проектов, it-архитектором и схожие должности.</li> </ul> <strong>Условия:</strong> <ul> <li>Оформление на работу в полном соответствии с ТК РФ</li> <li>Полис ДМС</li> <li>График 5/2 с 9:00 до 18:00 (в пятницу – до 16:45);</li> </ul>",Газпром нефть
0,55335062,Ведущий экономист по перспективному планированию,"<p><strong>Необходимо выполнять: </strong></p> <ul> <li>Расчеты КПЭ технологических и инфраструктурных проектов, проектов бурения;</li> <li>Подготовка расчетной части инвестиционных проектов;</li> <li>Консолидация материалов и формирование инвестиционных пректов;</li> <li>Выполнение расчетов на долгосрочную перспективу развития Общества;</li> <li>Контроль корректности предоставления исходных данных для проекта в части затрат;</li> <li>Определение и консолидация значимых показателей проектов в денежных и в физических параметрах;</li> <li>Расчеты эффективности технологических, инфраструктурных решений;</li> <li>Взаимодействие с экспертами по обоснованию инвестиционных решений.</li> </ul> <p><strong>Мы ждем тебя , если ты имеешь: </strong></p> <ul> <li>Высшее экономическое;</li> <li>Опыт работы по специальности (инвестиции/перспективное планирование/оценка активов), особенно в нефтегазовом секторе;Знание принципов инвестиционной деятельности, постороения и оцифровки дерева решений;</li> <li>Опыт расчета инвестиционных проектов. Знание смет, структуры затрат производственного предприятия;</li> <li>Понимание операционных и бизнес-процессов в производственном (нефтегазодобыающем) секторе;</li> <li>Умение анализировать информацию, выстривать логику зависимостей и выделять неопределенности;</li> <li>Умение планировать деятельность (в т.ч. в режиме межфункционального взаимодействия).Общее представление о проектом управлении, стадиях (этапах) проекта.</li> </ul> <p><strong>Мы предлагаем: </strong></p> <ul> <li>Официальное трудоустройство;</li> <li>Профессиональный рост, возможность обучения;</li> <li>Профессиональный коллектив;</li> <li>Уровень заработной платы обсуждается по итогу собеседования, в случае реакции оплата найма жилья.</li> </ul>",Газпром нефть
0,55590551,Ведущий специалист отдела по управлению МТО,"<strong>Обязанности:</strong> <ul> <li>Проведение закупочной деятельности ДО по своему направлению согласно действующим НМД компании.</li> <li>Участие в программах по импортозамещению ДО и компании в целом.</li> <li>Участие в разработках стратегии ДО в рамках поставок МТР.</li> <li>Анализ рынка и расчет начальной максимальной цены МТР.</li> <li>Подготовка, заключение и контроль исполнения договоров на поставку МТР.</li> <li>Контроль своевременности поставок МТР и выполнение плана поставок в течение отчетного периода (показатель УПЦ).</li> <li>Формирование платежей в системе и контроль исполнения, сверка взаиморасчетов с контрагентами.</li> <li>Подготовка отчетной документации для контролирующих органов.</li> </ul> <strong>Требования:</strong> <ul> <li>Образование высшее.</li> <li>Опыт работы от 1 до 3 лет.</li> <li>Знание методов анализа рынков, анализ плановой потребности.</li> <li>Понимание специфики закупочного процесса, ценообразование и критерии отбора контрагентов.</li> <li>Понимание долгосрочной и краткосрочной стратегии закупок.</li> <li>Понимание способов и процедуры оценки и выбора контрагентов.</li> <li>Навыки формирования закупочной документации для проведения отбора.</li> <li>Умение работать с большим массивом информации.</li> <li>Навыки ведения переговоров.</li> <li>Навыки коммерческой и технической оценки предложений контрагентов.</li> <li>Навыки формирования квалификационных требований к отбору.</li> <li>Навыки подготовки, согласования, ведения договоров.</li> <li>Знание требований к оформлению первичной документации, приходования, формирования оплат в системе.</li> </ul> <strong>Условия:</strong> <ul> <li>Оформление по трудовому договору в штат ООО &quot;Газпромнефть - смазочные материалы&quot;.</li> <li>ДМС со стоматологией, страхование жизни.</li> <li>Профессиональное развитие, интересные задачи.</li> </ul>",Газпром нефть
0,54718833,Водитель автомобиля (топливозаправщика аэродромного),"<p><strong>Обязанности:</strong></p> <ul> <li> <p>Осуществляет доставку нефтепродуктов.</p> </li> <li> <p>Осуществляет заправку Воздушных судов.</p> </li> <li> <p>Осуществляет ремонт (обслуживание) транспортных средств</p> </li> </ul> <p><strong>Требования:</strong></p> <ul> <li> <p>Среднее профессиональное образование</p> </li> <li> <p>водительское удостоверение категорий &quot;ВСЕ&quot;;</p> </li> <li> <p>удостоверение тракториста-машиниста с разрешительной записью о праве управления самоходными машинами категории &quot;A III&quot;;</p> </li> <li> <p>свидетельство ДОПОГ (при выезде на дороги общего пользования);</p> </li> <li> <p>работа на персональном компьютере - базовый уровень.</p> </li> <li> <p>Опыт работы: непрерывный стаж работы в качестве водителя автотранспортного средства категории «С» или «СЕ» не менее 3-х лет.</p> </li> </ul> <strong>Условия:</strong> <ul> <li>Работа в стабильной, динамично развивающейся компании;</li> <li>Работа на территории аэродрома Мигалово;</li> <li>Расширенный социальный пакет (ДМС, страхование жизни)</li> <li>Годовая премия по итогам работы</li> <li>График работы 2/2.</li> </ul>",Газпром нефть
0,54979898,Оператор-кассир АЗС (Красногорск),"<p><strong>Сеть автозаправочных станций – одно из ключевых направлений работы «Газпромнефть». Сегодня наша компания является лидером российского рынка. </strong></p> <p><strong>Мы приглашаем присоединиться к команде Оператора-кассира автозаправочной станции. </strong></p> <p><strong>Наши Операторы ежедневно помогают автомобилистам: консультируют по предоставляемым услугам, угощают их ароматной выпечкой и свежим кофе, заряжают хорошим настроением в дорогу. Если ты ответственный, готов много работать и зарабатывать, любишь общаться и помогать людям, присоединяйся к нам! </strong></p> <p><strong>Мы предлагаем:</strong></p> <ul> <li>официальное трудоустройство;</li> <li>стабильную зарплату 2 раза в месяц и возможность влиять на свой уровень дохода;</li> <li>ежемесячные и годовые премии по результатам работы;</li> <li>возможность работать рядом с домом;</li> <li>сменный график работы (дневные и ночные смены);</li> <li>расширенный соцпакет (ДМС со стоматологией и страхование от несчастных случаев);</li> <li>ежегодный медосмотр за счет компании;</li> <li>карьерный рост (мы всегда поддерживаем сотрудников, желающих развиваться);</li> </ul> <p><strong>А также:</strong></p> <ul> <li>поддержка в сложных жизненных ситуациях: материальная помощь многодетным семьям, одиноким матерям и отцам, помощь семьям с детьми-инвалидами;</li> <li>компенсация путевок в детские оздоровительные лагеря;</li> <li>поздравления и подарки детям сотрудников на Новый год;</li> <li>дополнительное премирование за победы в мотивационных конкурсах;</li> <li>бесплатное дистанционное обучение профессии за счет компании.</li> </ul> <p><strong>Что вам нужно будет делать:</strong></p> <ul> <li>работать с клиентами;</li> <li>готовить продукцию кафе (выпечка, хот-доги) – только на крупных АЗС;</li> <li>выкладывать товар на полки и следить за сроками годности продукции;</li> <li>вести учет нефтепродуктов и товаров на АЗС;</li> <li>поддерживать чистоту на АЗС.</li> </ul> <p><strong>От вас мы ждем:</strong></p> <ul> <li>образование от среднего и выше;</li> <li>опыт работы за кассой будет являться преимуществом;</li> <li>знание ПК, Word, Excel;</li> <li>готовность к работе на ногах;</li> <li>готовность к работе в режиме многозадачности.</li> </ul>",Газпром нефть
0,55855452,Аналитик отдела продаж в СНГ,"<strong>Обязанности:</strong> <ul> <li> <p>Подготовка факторного анализа отклонения фактического результата от предыдущего периода и бизнес-плана, анализ эффективности продаж, подготовка отчетности, аналитических записок и справочных материалов.</p> </li> <li> <p>Взаимодействие с дочерними обществами в СНГ и смежными подразделениями по направлениям планирования, анализа, контроля эффективности продаж, ценообразования.</p> </li> <li> <p>Участие в формировании бизнес-плана, текущего плана, анализ плана, формирование предложений по корректировке текущего плана и его актуализация при необходимости на величину прогнозируемых факторов по дочерним обществам в СНГ.</p> </li> <li> <p>Обеспечение поддержания всех методик и стандартов в области организации продаж в дочерних обществах в СНГ в актуальном состоянии, унификация и описание бизнес процессов, разработка новых методик.</p> </li> <li> <p>Участие в проектах автоматизации отчетности и бизнес-процессов.</p> </li> <li> <p>Разработка предложений по повышению эффективности продаж в дочерних обществах в СНГ, проведение мониторинга и контроль достижения показателей.</p> </li> <li> <p>Консолидация информации и подготовка аналитических презентационных материалов.</p> </li> </ul> <strong>Требования:</strong> <ul> <li> <p>Высшее образование – бакалавриат.</p> </li> <li> <p>Продвинутый пользователь Excel, Word, PowerPoint.</p> </li> <li> <p>Умение работать с большим объёмом информации, представлять его в виде аналитических отчетов, презентаций, отражающих эффективность бизнес-процессов и ключевые тенденции, навык планирования и прогнозирования.</p> </li> <li> <p>Желательные: BI-инструменты (опыт работы в QlikView); 1С; Visio; Project; знание SQL, Access, Power BI; опыт оптимизации и автоматизации процессов.</p> </li> </ul> <strong>Условия:</strong> <ul> <li> <p>Оформление по срочному трудовому договору в штат ПАО «Газпром нефть».</p> </li> <li> <p>ДМС со стоматологией, страхование жизни.</p> </li> <li> <p>Профессиональное развитие, интересные задачи.</p> </li> </ul>",Газпром нефть
0,53605508,Главный метролог,"<strong>Обязанности:</strong> <ul> <li> <p>Проводить работы по метрологическому обеспечению производства, принимать участие в метрологическом обеспечении разработки новых видов продукции и технологических процессов.</p> </li> <li> <p>Организовывать проведение работ по поверке и калибровке средств измерения и аттестации испытательного оборудования, обеспечение своевременного предоставления средств измерения на периодическую поверку (калибровку).</p> </li> <li> <p>Проводить анализ состояния средств измерения, контроля и испытания технологических процессов производства.</p> </li> <li> <p>Определять потребности в средствах измерения, испытательного и вспомогательного оборудования, контрольно-измерительных приборов, приборов и оборудования автоматизации, подготавливать предложения и формировать заявки на их приобретение.</p> </li> <li> <p>Участвовать в установлении рациональной номенклатуры измерительных параметров, оптимальных норм точности измерений при контроле показателей качества продукции и параметров технологических процессов.</p> </li> <li> <p>Участвовать в проведении работ по метрологическому обеспечению испытаний и сертификации продукции, участвовать в проведении работ по оценке состояния измерений в испытательной лаборатории качества нефтепродуктов с привлечением органов Государственной метрологической службы.</p> </li> <li> <p>Участвовать в проведении метрологической экспертизы технических заданий проектной, конструкторской и технологической документации, проектов стандартов и других нормативных документов в области метрологического обеспечения и автоматизации.</p> </li> <li> <p>Разрабатывать технические задания и согласовывать технические задания подразделений предприятия на закупку МТР, на ПИР, СМР, ПНР, ЭПБ, по договорам оказания услуг общего и производственного назначения, включающие объекты метрологического контроля и автоматизации.</p> </li> <li> <p>Руководить организацией технического обслуживания и ремонта систем автоматизации, испытательного, вспомогательного оборудования и средств измерения.</p> </li> <li> <p>Определять технические требования к подрядчику для выполнения работ по техническому обслуживанию и ремонту СИ, систем автоматизации, поверке и калибровке СИ.</p> </li> <li> <p>Руководить организацией и планированием работы службы главного метролога, разработкой графиков ремонта и обслуживания приборов и оборудования.</p> </li> </ul> <strong>Требования:</strong> <ul> <li>Высшее профильное образование</li> <li>Управленческий опыт по направлению от 3-х лет</li> </ul> <strong>Условия:</strong> <ul> <li>Работа в стабильной, динамично развивающейся компании ·</li> <li>Перспектива профессионального роста</li> <li>Расширенный социальный пакет (ДМС, страхование жизни)</li> <li>Бонус по результатам деятельности</li> <li>Уровень оплаты труда обсуждается по итогам собеседования</li> <li>Постоянная позиция в штате компании</li> </ul>",Газпром нефть
0,53650803,Главный специалист ПЭО,"<p>Формирование управленческого учёта и анализ финансовых результатов Группы компаний.</p> <p><strong>Обязанности:</strong></p> <ul> <li>Подготовка бизнес-плана и регулярных прогнозов, закрытие ежемесячной управленческой отчётности;</li> <li>Анализ эффективности деятельности, экономический анализ, факторный анализ;</li> <li>Формирование презентационных материалов и аналитический справок для руководства Общества;</li> <li>Анализ себестоимости продукции и услуг;</li> <li>Участие в подготовке технических заданий на IT-развитие и автоматизацию профильной функции и сопровождение проектов.</li> </ul> <strong>Требования:</strong> <ul> <li>Высшее экономическое образование (желательно по направлению «бухгалтерский учет и аудит»);</li> <li>Общие знания стандартов РСБУ и МСФО;</li> <li>Знание ПО: Excel - продвинутый, 1С:УПП - уверенный, Power Point - уверенный, Oracle Hyperion Planning - желательно;</li> <li>Глубокое понимание принципов формирования отчета о прибылях и убытках, общие понимания принципов формирования баланса и движения денежных средств.</li> </ul> <strong>Условия:</strong> <ul> <li>Официальное трудоустройство, расширенный социальный пакет (ДМС, страхование жизни);</li> <li>Работа в стабильной, динамично развивающейся компании;</li> <li>Профессиональный рост, возможность обучения;</li> <li>Профессиональный коллектив;</li> <li>Уровень заработной платы обсуждается по итогам собеседования.</li> </ul>",Газпром нефть
0,48595342,Водитель автомобиля,"<p>Мы ценим своих сотрудников и гарантируем стабильную оплату труда, а также предоставляем удобный сменный график работы.</p> <p>Обязательно наличие прав ВСЕ.</p> <p><strong>Обязанности:</strong></p> <ul> <li>Осуществлять доставку нефтепродуктов</li> <li>Осуществлять заправку воздушных судов.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Среднее профессиональное образование,</li> <li>Непрерывный стаж работы в качестве водителя автотранспортного средства категории «С» или «СЕ» не менее 3-х лет</li> <li>Водительское удостоверение категорий &quot;ВСЕ&quot;</li> <li>Удостоверение тракториста-машиниста с разрешительной записью о праве управления самоходными машинами категории &quot;A III&quot;</li> <li>Работа на персональном компьютере</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Годовая премия по итогам работы</li> <li>Ежегодный оплачиваемый отпуск</li> <li>Расширенный социальный пакет (ДМС, страхование жизни)</li> <li>Питание от предприятия</li> </ul>",Газпром нефть
