,id,name,description,employer.name
0,55557356,Руководитель центра Внутреннего контроля и управления рисками,"<p><strong>Цель должности: </strong><br />Руководство функцией внутреннего контроля и управления рисками Группы Компаний Газпром-нефть, включая формирование единой методологии, организацию и проведение обучения и мероприятий, направленных на развитие риск-ориентированной культуры, развитие внутренних продуктов по управлению рисками и внутреннему контролю.</p> <p><strong>Обязанности:</strong></p> <ul> <li>Реализация проектов по организации и совершенствованию внутреннего контроля и управления процессными рисками в бизнес-процессах Компании.</li> <li>Обеспечение ежегодного процесса переоценки и мониторинга наиболее существенных и ключевых рисков Компании.</li> <li>Организация и проведение обучения в области внутреннего контроля и управления рисками для сотрудников Компании.</li> <li>Планирование, организация и контроль реализации мероприятий по развитию риск-ориентированной культуры (например, поддержка корпоративного портала по внутреннему контролю и управлению рисками, ежегодные конференции, прочее)</li> <li>Экспертиза, консультирование и методологическая поддержка сотрудников Компании .</li> <li>Участие в проектах по цифровой трансформации и автоматизации в области внутреннего контроля и управления рисками.</li> <li>Разработка и согласование НМД, устанавливающих единые нормы и правила, регулирующих деятельность Компании в области внутреннего контроля и управления рисками, контроль обеспечения их исполнения .</li> <li>Подготовка отчетности по внутреннему контролю и управлению рисками для руководства, Комитета по аудиту и раскрытия для внешних пользователей.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Высшее образование экономическое / математическое.</li> <li>Профессиональная сертификация в области внутреннего контроля, управления рисками или внутреннего аудита.</li> <li>Опыт работы во внутреннем контроле, управлении рисками или внутреннем аудите в производственных компаниях от 10 лет.</li> <li>Опыт работы на руководящей позиции от 4 лет.</li> <li>Опыт работы в нефтегазовой сфере желателен.</li> <li>Опыт работы в big4 желателен.</li> <li>Навыки проектного управления.</li> <li>Знание законодательства РФ и международных стандартов в области внутреннего контроля и управления рисками.</li> <li>Опыт внедрения ИТ-продуктов в области внутреннего контроля и управления. рисками желателен.</li> </ul> <p> </p> <p><strong>Условия:</strong></p> <ul> <li>Работа в Корпоративном центре ПАО &quot;Газпром нефть&quot;.</li> <li>Официальное трудоустройство, расширенный социальный пакет (ДМС, страхование жизни).</li> <li>Работа в стабильной, динамично развивающейся компании.</li> <li>Перспектива профессионального роста, возможность обучения.</li> <li>Уровень заработной платы обсуждается по итогам собеседования.</li> </ul>",Газпром нефть
0,55226153,Лаборант химического анализа 5 разряда,"<strong>Обязанности:</strong> <ul> <li>Подтверждение качества светлых нефтепродуктов (бензины и дизельные топлива);</li> <li>Контроль сроков поверки, аттестации оборудования;</li> <li>Работа с химическими реактивами, контроль качества, учет;</li> <li>Отбор (резервуары, ЖДЦ, автоцистерны) и оформление проб нефтепродуктов;</li> <li>Подготовка и составление отчетов о проделанной работе.</li> </ul> <strong>Требования:</strong> <ul> <li>Образование: средне-специальное/высшее (с химическим уклоном);</li> <li>Опыт работы в лабораториях от 1 года (рассматривается как преимущество);</li> <li>Уверенный пользователь ПК.</li> </ul> <strong>Условия:</strong> <ul> <li>Официальное трудоустройство согласно ТК РФ;</li> <li>Место работы: г. Краснодар, Динской район, Станица Новотитаровская, ул. Крайняя 2/11</li> <li>Есть корп. развозка.</li> <li>График работы: сменный 2/2 (1 в день,1 в ночь, 2 вых.) - может измениться в связи с производственной необходимостью;</li> <li>Стабильная выплата заработной платы 2 раза в месяц;</li> <li>Годовое премирование, добровольное медицинское страхование.</li> </ul>",Газпром нефть
0,66075974,Главный специалист по эксплуатации спецавтотранспорта [id9001FW],"<strong>Обязанности:</strong> <ul> <li>Обеспечение эксплуатации, технического обслуживания и ремонта в периметре подведомственных предприятий представительства (филиалы, ПУ, ДО)</li> <li>Осуществление инспекционного контроля по оценке фактического технического состояния автотранспорта, ведением эксплуатационной документации</li> <li>Планирование производственной деятельности, в том числе проверка и согласование бюджетов предприятий</li> <li>Ведение договорной работы, направленной на обеспечение эксплуатации автотранспорта</li> <li>Контроль работы транспортной службы в подразделениях</li> <li>Анализ производственной деятельности предприятий</li> <li>Участие в установление причин отказов техники, выработка предложений по принятию корректирующих мероприятий</li> </ul> <strong>Требования:</strong> <ul> <li>Высшее профессиональное образование (профильное)</li> <li>Опыт работы от 1 до 3 лет</li> <li>Навыки работы с офисными программами (MS OFFICE), 1С, Tessa</li> </ul> <strong>Условия:</strong> <ul> <li>Работа в стабильной, динамично развивающейся компании</li> <li>Перспектива профессионального роста</li> <li>Расширенный социальный пакет (ДМС, страхование жизни, единовременные выплаты к отпуску)</li> <li>Бонус по результатам деятельности</li> <li>Уровень оплаты труда обсуждается по итогам собеседования</li> <li>Постоянная позиция в штате компании</li> </ul>",Газпром нефть
0,55300658,Секретарь-референт,"<strong>Обязанности:</strong> <ul> <li>Составление деловых писем и официальных обращений;</li> <li>Ведение протокола и организация встреч;</li> <li>Подготовка презентационных материалов в Power Point по запросу;</li> <li>Организационная работа по общим задачам департамента;</li> <li>Контроль исполнения поручений руководителя департамента.</li> </ul> <strong>Требования:</strong> <ul> <li>Опыт работы в административной должности от 1 год;</li> <li>Навыки ведения делового протокола обязательны;</li> <li>Опыт ведение делопроизводства;</li> <li>Владение PowerPoint на уровне уверенного пользователя.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Работа в крупной стабильной Компании;</li> <li>Оформление согласно ТК РФ в штат компании;</li> <li>Полный соц. пакет (ДМС, страхование жизни);</li> <li>График работы с 8 до 17, пятница- до 15-45.</li> </ul>",Газпром нефть
0,55597910,Ведущий специалист по закупкам,"<p><strong>Обязанности:</strong></p> <ul> <li>Подготовка пакета документов для проведения закупочной процедуры.</li> <li>Подготовка договорных документов (договор, дополнительное соглашение).</li> <li>Подготовка по запросам руководителя отчетов о статусе процедур закупки.</li> <li>Ведение переписки с контрагентами по вопросам договорной работы.</li> <li>Ведение реестров договорных документов.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Высшее образование (желательно экономическое или техническое).</li> <li>Опыт работы в закупочной области, в том числе в области договорной работы.</li> <li>Знание принципов и порядка ведения закупочной деятельности.</li> <li>Умение составлять грамотный, логичный и структурированный документ.</li> <li>Владение MS Word, MS Excel.</li> <li>Владение Sap, 1C.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li><strong>Срочный трудовой договор</strong> в штат ДО ООО &quot;Газпромнефть - Каталитические системы&quot;.</li> <li>Работа на территории АО “Газпромнефть-Омский НПЗ”.</li> <li>ДМС со стоматологией.</li> <li>Интересные задачи, богатая корпоративная жизнь.</li> </ul>",Газпром нефть
0,54806688,Техник-лаборант,"<strong>Обязанности:</strong> <ul> <li>Анализ качества авиаГСМ в нештатных ситуациях на складе ГСМ.</li> <li>Отбор проб при оперативной необходимости.</li> <li>Подготовка рабочих растворов и химических реактивов.</li> <li>Выдача разрешения на прием/выдачу/перекачку авиатоплива в резервуарах склада ГСМ через внесение информации в АРМ АСУ ТП, в случае отсутствия АСУ ТП.</li> <li>Проведение экспертной оценки паспортов (сертификатов) качества и сертификатов (деклараций) соответствия на авиаГСМ при входном контроле качества авиаГСМ каждой партии, поступающей от поставщика.</li> <li>Проведение проверки воспроизводимости результатов по показателям качества авиаГСМ.</li> </ul> <strong>Требования:</strong> <ul> <li>Среднее профессиональное образование, программы подготовки специалистов среднего звена в области химической технологии.</li> </ul> <strong>Условия:</strong> <ul> <li>Работа в стабильной, динамично развивающейся компании;</li> <li>Перспектива профессионального роста;</li> <li>Расширенный социальный пакет (ДМС, страхование жизни)</li> <li>Работа в лаборатории на территории аэродрома</li> <li>График работы 2/2.</li> </ul>",Газпром нефть
0,55032740,Авиационный техник по горюче - смазочным материалам,"<strong>Обязанности:</strong> <ul> <li> <p>Выполнять установленную технологию работ,</p> </li> <li> <p>осуществлять контроль качества авиаГСМ,</p> </li> <li> <p>оформлять контрольно-регистрационную документацию,</p> </li> <li> <p>проводить входной контроль качества авиаГСМ при приеме,</p> </li> <li> <p>проводить техническое обслуживание и ремонт технологического оборудования,</p> </li> <li> <p>соблюдать правила учета,</p> </li> <li> <p>хранения и выдачи ГСМ и спецжидкостей.</p> </li> </ul> <strong>Требования:</strong> <ul> <li>Среднее профессиональное образование (предпочтительно авиационное);</li> </ul> <strong>Условия:</strong> <ul> <li>Работа в стабильной, динамично развивающейся компании;</li> <li>Перспектива профессионального роста;</li> <li>Расширенный социальный пакет (ДМС);</li> <li>Бонус по результатам деятельности</li> <li><strong>НЕ ВАХТА!</strong> Работа на территории аэропорта Мигалово</li> <li>График работы 2/2.</li> </ul>",Газпром нефть
0,54444956,Специалист КИПиА,"<strong>Обязанности:</strong> <ul> <li>Разрабатывать и согласовывать графики выполнения работ оборудования КИПиА, обеспечивать необходимыми техническими данными и материалами.</li> <li>Принимать участие в анализе случаев отказов оборудования КИПиА.</li> <li>Принимать участие в комиссиях по испытаниям, наладке и сдаче в эксплуатацию оборудования КИПиА.</li> <li>Принимать участие в рассмотрении технической документации, связанной с проектированием автоматизированных систем.</li> <li>Повышение результативности и эффективности оказания услуг по направлению &quot;ИТ&quot;</li> <li>Разрабатывать и предоставлять по закрепленным объектам обслуживания, сервисные отчеты в сроки, установленные договорами с Заказчиком.</li> </ul> <strong>Требования:</strong> <ul> <li>Высшее техническое образование</li> </ul> <strong>Условия:</strong> <ul> <li>Работа в стабильной, динамично развивающейся компании. Место работы: Дочернее Общество компании.</li> <li>Трудоустройство согласно ТК РФ.</li> <li>Система мотивации: оклад + годовое премирование, уровень заработной платы обсуждается по итогам собеседования.</li> <li>ДМС с первого месяца работы специалиста в компании.</li> </ul>",Газпром нефть
0,55216437,Ведущий специалист,"<p><strong>Обязанности:</strong></p> <ul> <li>обследование бизнес-процессов (интервью, кросс-функциональные встречи, изучение НМД, ЛНА, договорных документов);</li> <li>анализ, оптимизация и регламентация бизнес-процессов казначейской функции;</li> <li>оказание методологической поддержки по вопросам казначейской функции;</li> <li>мониторинг изменений Законодательства РФ, оценка влияния на процессы казначейской функции, необходимость изменения систем; транслирование изменений в деятельность подразделения;</li> <li>формирование и поддержание в актуальном состоянии нормативно-методической документации функции;</li> <li>проведение обучающих мероприятий по процессам казначейской функции;</li> <li>экспертиза запросов на изменение учетных систем и прочих документов, направленных на изменение процессов казначейской функции; бизнес-тестирование разработанного функционала;</li> <li>участие в корпоративных проектах, направленных на развитие казначейской функции ГК ГПН;</li> <li>разработка, внедрение и поддержка инструментов Excel, направленных на оптимизацию процессов.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>высшее экономическое образование;</li> <li>общий опыт работы по специализации не менее 1 года (аналитик процессов, методолог казначейской функции);</li> <li>знание основ казначейской функции, платежного процесса;</li> <li>знание методов анализа бизнес-процессов;</li> <li>опыт в области автоматизации бизнес-процессов;</li> <li>умение работы с информацией: чтение и анализ таблиц, схем, оценка информационных источников на соответствие критериям поиска;</li> <li>знание специализированных программ – Консультант +, знание MS Office (Word, Excel (VBA), Visio, Qlik Sence) на уровне уверенного пользователя;</li> <li>опыт подготовки презентаций, обучающих материалов;</li> <li>умение анализировать нормы бухгалтерского, налогового законодательства, требований платежной системы РФ.</li> </ul> <p><strong>Мы предлагаем: </strong></p> <ul> <li>Постоянный трудовой договор;</li> <li>Работа в дочернем обществе ПАО &quot;Газпромнефть&quot;, м. Адмиралтейская;</li> <li>Работа в стабильной, динамично развивающейся компании;</li> <li>Расширенный социальный пакет (ДМС, страхование жизни, единовременные выплаты к отпуску).</li> </ul>",Газпром нефть
0,66132471,"Оператор-кассир АЗС (г. Тихвин, ул. Карла Маркса, 74)","<p><strong>Сеть автозаправочных станций – одно из ключевых направлений работы «Газпромнефть». Сегодня наша компания является лидером российского рынка.</strong></p> <p><strong>Мы приглашаем присоединиться к команде Оператора-кассира автозаправочной станции.</strong></p> <p><strong>Наши Операторы ежедневно помогают автомобилистам: консультируют по предоставляемым услугам, угощают их ароматной выпечкой и свежим кофе, заряжают хорошим настроением в дорогу.</strong></p> <p><strong>Если ты ответственный, готов много работать и зарабатывать, любишь общаться и помогать людям, присоединяйся к нам!</strong></p> <p><strong>Мы предлагаем:</strong></p> <ul> <li><strong>официальное трудоустройство по срочному ТД (с возможностью дальнейшего перехода на постоянный ТД, при наличии вакансии);</strong></li> <li>стабильную зарплату 2 раза в месяц и возможность влиять на свой уровень дохода;</li> <li>компенсацию проезда;</li> <li>ежемесячные и годовые премии по результатам работы;</li> <li>скидки сотрудникам для вкусного обеда на кофе, выпечку, хот-доги и другое;</li> <li>возможность работать рядом с домом;</li> <li>сменный график работы (дневные и ночные смены);</li> <li>расширенный соцпакет (ДМС со стоматологией, после 6-ти месяцев работы в компании и страхование от несчастных случаев);</li> <li>ежегодный медосмотр за счет компании;</li> <li>карьерный рост (мы всегда поддерживаем сотрудников, желающих развиваться).</li> </ul> <p><strong>А также:</strong></p> <ul> <li>поддержка в сложных жизненных ситуациях: материальная помощь многодетным семьям, одиноким матерям и отцам, помощь семьям с детьми-инвалидами;</li> <li>компенсация путевок в детские оздоровительные лагеря;</li> <li>поздравления и подарки детям сотрудников на Новый год;</li> <li>дополнительное премирование за победы в мотивационных конкурсах;</li> <li>бесплатное дистанционное обучение профессии за счет компании.</li> </ul> <p><strong>Что вам нужно будет делать:</strong></p> <ul> <li>работать с клиентами;</li> <li>готовить продукцию кафе (выпечка, хот-доги) – только на крупных АЗС;</li> <li>выкладывать товар на полки и следить за сроками годности продукции;</li> <li>вести учет нефтепродуктов и товаров на АЗС</li> <li>поддерживать чистоту на АЗС.</li> </ul> <p><strong>От вас мы ждем:</strong></p> <ul> <li>образование от среднего и выше;</li> <li>опыт работы за кассой будет являться преимуществом;</li> <li>знание ПК, Word, Excel;</li> <li>готовность к работе на ногах;</li> <li>готовность к работе в режиме многозадачности.</li> </ul>",Газпром нефть
